recorded_at,event_date,house,wait_minutes,status
2026-09-06T19:31:59-04:00,2026-09-06,Cybergoria,75,Open
2026-09-06T19:31:59-04:00,2026-09-06,Evil Dead Burn,60,Open
2026-09-06T19:31:59-04:00,2026-09-06,H.R. Bloodengutz,100,Open
2026-09-06T19:31:59-04:00,2026-09-06,Hellraiser,75,Open
2026-09-06T19:31:59-04:00,2026-09-06,INVASION,60,Open
2026-09-06T19:31:59-04:00,2026-09-06,Jack & Oddfellow,60,Open
2026-09-06T19:31:59-04:00,2026-09-06,MADLANDS,120,Open
2026-09-06T19:31:59-04:00,2026-09-06,Ozzy Osbourne,180,Open
2026-09-06T19:31:59-04:00,2026-09-06,Sinners,90,Open
2026-09-06T19:31:59-04:00,2026-09-06,Stranger Things 5,65,Open
2026-09-06T19:41:50-04:00,2026-09-06,Cybergoria,85,Open
2026-09-06T19:41:50-04:00,2026-09-06,Evil Dead Burn,50,Open
2026-09-06T19:41:50-04:00,2026-09-06,H.R. Bloodengutz,100,Open
2026-09-06T19:41:50-04:00,2026-09-06,Hellraiser,75,Open
2026-09-06T19:41:50-04:00,2026-09-06,INVASION,60,Open
2026-09-06T19:41:50-04:00,2026-09-06,Jack & Oddfellow,60,Open
2026-09-06T19:41:50-04:00,2026-09-06,MADLANDS,120,Open
2026-09-06T19:41:50-04:00,2026-09-06,Ozzy Osbourne,150,Open
2026-09-06T19:41:50-04:00,2026-09-06,Sinners,90,Open
2026-09-06T19:41:50-04:00,2026-09-06,Stranger Things 5,50,Open
2026-09-06T19:51:47-04:00,2026-09-06,Cybergoria,90,Open
2026-09-06T19:51:47-04:00,2026-09-06,Evil Dead Burn,50,Open
2026-09-06T19:51:47-04:00,2026-09-06,H.R. Bloodengutz,100,Open
2026-09-06T19:51:47-04:00,2026-09-06,Hellraiser,55,Open
2026-09-06T19:51:47-04:00,2026-09-06,INVASION,60,Open
2026-09-06T19:51:47-04:00,2026-09-06,Jack & Oddfellow,70,Open
2026-09-06T19:51:47-04:00,2026-09-06,MADLANDS,120,Open
